month,day,year,bps,rate
3,4,1951,25,1.75
1,16,1952,25,2
6,1,1953,0,2
2,5,1954,-25,1.75
4,16,1954,-25,1.5
4,15,1955,25,1.75
8,5,1955,25,2
9,9,1955,25,2.25
11,18,1955,25,2.5
4,13,1956,25,2.75
8,24,1956,25,3
8,23,1957,50,3.5
11,15,1957,-50,3
1,24,1958,-25,2.75
3,7,1958,-50,2.25
4,18,1958,-50,1.75
9,12,1958,25,2
11,7,1958,50,2.5
3,6,1959,50,3
5,29,1959,50,3.5
9,11,1959,50,4
6,10,1960,-50,3.5
8,12,1960,-50,3
1,1,1961,0,3
7,17,1963,50,3.5
11,24,1964,50,4
12,6,1965,50,4.5
1,1,1966,0,4.5
4,7,1967,-50,4
11,20,1967,50,4.5
3,22,1968,50,5
4,19,1968,50,5.5
8,30,1968,-25,5.25
12,18,1968,25,5.5
4,4,1969,50,6
11,13,1970,-25,5.75
12,4,1970,-25,5.5
1,8,1971,-25,5.25
1,22,1971,-25,5
2,19,1971,-25,4.75
7,16,1971,25,5
11,19,1971,-25,4.75
12,17,1971,-25,4.5
3,1,1972,0,4.5
1,15,1973,50,5
2,26,1973,50,5.5
5,4,1973,25,5.75
5,11,1973,25,6
6,11,1973,50,6.5
7,2,1973,50,7
8,14,1973,50,7.5
4,25,1974,50,8
12,9,1974,-25,7.75
1,10,1975,-50,7.25
2,5,1975,-50,6.75
3,10,1975,-50,6.25
5,16,1975,-25,6
1,16,1976,-50,5.5
11,22,1976,-25,5.25
8,30,1977,50,5.75
10,26,1977,25,6
1,9,1978,50,6.5
5,11,1978,50,7
7,3,1978,25,7.25
8,21,1978,50,7.75
9,22,1978,25,8
10,16,1978,50,8.5
11,1,1978,100,9.5
7,20,1979,50,10
8,17,1979,50,10.5
9,19,1979,50,11
10,6,1979,100,12
2,15,1980,100,13
5,29,1980,-100,12
6,13,1980,-100,11
7,28,1980,-100,10
9,26,1980,100,11
11,17,1980,100,12
12,5,1980,100,13
5,5,1981,100,14
11,2,1981,-100,13
