startMonth,startDay,startYear,endMonth,endDay,endYear,wikiUrl,text,fontSize,fontFamily,bold,color,backgroundColor,croptop,cropright,cropbottom,cropleft,positiontop,positionleft,scale,height,verticalOffset,textWeek,zIndexOverride,tooltip
5,1,-1270,5,30,-1270,https://en.wikipedia.org/wiki/Battle_of_Kadesh,BATTLE OF KADESH,2.2em,Arial,TRUE,BLACK,GOLD,30,0,10,0,40%,17%,20,0.80,0,2,20,
1,1,-587,12,31,-587,https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(587_BC),SIEGE OF JERUSALEM,2.2em,Arial,TRUE,BLACK,GOLD,30,0,10,0,40%,17%,20,0.80,0,"2,8,13,18,23,29,34,39,44,49,55,60",20,
1,1,-539,12,31,-539,https://en.wikipedia.org/wiki/Fall_of_Babylon,FALL OF BABYLON,2.2em,Arial,TRUE,GOLD,RED,30,0,10,0,40%,18%,60,0.80,-38,"2,7,12,18,23,28,34,39,44,49,54,59",20,
1,1,-492,1,11,-492,https://en.wikipedia.org/wiki/First_Persian_invasion_of_Greece,FIRST PERSIAN INVASION OF GREECE BEGINS,1.5em,Arial,TRUE,BLACK,GOLD,30,0,10,0,45%,2%,20,0.80,0,2,20,
9,1,-490,9,11,-490,https://en.wikipedia.org/wiki/First_Persian_invasion_of_Greece,FIRST PERSIAN INVASION OF GREECE ENDS,1.3em,Arial,TRUE,BLACK,GOLD,30,0,10,0,45%,3%,20,0.80,0,2,20,
1,1,-480,1,10,-480,https://en.wikipedia.org/wiki/Second_Persian_invasion_of_Greece,SECOND PERSIAN INVASION OF GREECE BEGINS,1.4em,Arial,TRUE,BLACK,GOLD,30,0,10,0,45%,3%,20,0.80,0,2,20,
7,21,-480,7,23,-480,https://en.wikipedia.org/wiki/Battle_of_Thermopylae,THERMOPYLAE,2.0em,Arial,TRUE,RED,GOLD,30,0,10,0,40%,17%,20,0.80,0,1,20,
9,26,-480,9,27,-480,https://en.wikipedia.org/wiki/Battle_of_Salamis,SALAMIS,2.0em,Arial,TRUE,RED,GOLD,30,0,10,0,40%,5%,20,0.80,0,1,20,
8,21,-479,8,28,-479,https://en.wikipedia.org/wiki/Second_Persian_invasion_of_Greece,SECOND PERSIAN INVASION OF GREECE ENDS,1.5em,Arial,TRUE,BLACK,GOLD,30,0,10,0,45%,1%,20,0.80,0,1,20,
4,4,-431,4,12,-431,https://en.wikipedia.org/wiki/Peloponnesian_War,PELOPONNESIAN WAR BEGINS,2.2em,Arial,TRUE,BLACK,GOLD,30,0,10,0,40%,2%,20,0.80,0,2,20,
4,14,-404,4,25,-404,https://en.wikipedia.org/wiki/Peloponnesian_War,PELOPONNESIAN WAR ENDS,2.2em,Arial,TRUE,BLACK,GOLD,30,0,10,0,40%,5%,20,0.80,0,1,20,
7,18,-390,8,21,-390,https://en.wikipedia.org/wiki/Sack_of_Rome_(390_BC),SACK OF ROME,2.3em,Arial,TRUE,RED,BLACK,30,0,10,0,40%,25%,20,0.75,20,"1,4",2,
9,1,-52,9,20,-52,https://en.wikipedia.org/wiki/Battle_of_Alesia,BATTLE OF ALESIA,2.3em,Arial,TRUE,BLACK,RED,30,0,10,0,40%,20%,20,0.80,0,2,20,
1,16,-27,1,27,-27,https://en.wikipedia.org/wiki/Pax_Romana,PAX ROMANA BEGINS,2.3em,Arial,TRUE,BLACK,RED,30,0,10,0,40%,15%,20,0.80,0,2,20,
9,8,9,9,11,9,https://en.wikipedia.org/wiki/Battle_of_the_Teutoburg_Forest,TEUTOBURG FOREST,1.85em,Arial,TRUE,black,RED,30,0,10,0,40%,17%,20,0.80,20,1,9,
4,13,70,9,8,70,https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(70_CE),SIEGE OF JERUSALEM,2.3em,Arial,TRUE,WHITE,RED,30,0,10,0,40%,15%,20,0.80,10,"2,5,11,16,21",19,
9,1,132,9,30,132,https://en.wikipedia.org/wiki/Bar_Kokhba_revolt,BAR KOKHBA BEGINS,2.3em,Arial,TRUE,WHITE,RED,30,0,10,0,40%,15%,20,0.80,10,2,19,
7,1,136,7,31,136,https://en.wikipedia.org/wiki/Bar_Kokhba_revolt,BAR KOKHBA BEGINS,2.3em,Arial,TRUE,WHITE,RED,30,0,10,0,40%,15%,20,0.80,10,2,19,
1,1,165,1,12,165,https://en.wikipedia.org/wiki/Antonine_Plague,ANTONINE PLAGUE BEGINS,2.3em,Arial,TRUE,BLACK,RED,30,0,10,0,40%,5%,20,0.80,0,2,20,
1,1,180,1,8,180,https://en.wikipedia.org/wiki/Antonine_Plague,ANTONINE PLAGUE ENDS,2.3em,Arial,TRUE,BLACK,RED,30,0,10,0,40%,5%,20,0.80,0,2,20,
5,1,325,8,31,325,https://en.wikipedia.org/wiki/First_Council_of_Nicaea,NICAEAN CREED,2.3em,Arial,TRUE,WHITE,BLACK,30,0,10,0,40%,23%,20,0.80,25,"2,8,13,18",19,
6,2,455,6,16,455,https://en.wikipedia.org/wiki/Sack_of_Rome_(455),SACK OF ROME BY VANDALS,2.2em,Arial,TRUE,BLACK,RED,30,0,10,0,40%,2%,60,0.80,-37,2,20,Sack of Rome (455)
9,2,476,9,4,476,https://en.wikipedia.org/wiki/Battle_of_Ravenna_(476),RAVENNA,2.3em,Arial,TRUE,BLACK,RED,30,0,10,0,40%,7%,60,0.80,-39,1,20,
8,15,636,8,20,636,https://en.wikipedia.org/wiki/Battle_of_the_Yarmuk,YARMUK,2.3em,Arial,TRUE,GREEN,black,30,0,10,0,40%,30%,20,0.80,0,1,20,
1,1,878,1,31,878,https://en.wikipedia.org/wiki/Battle_of_Chippenham,BATTLE OF CHIPPENHAM,2.3em,Arial,TRUE,WHITE,RED,30,0,10,0,40%,4%,64,0.80,-35,2,20,
5,1,878,5,31,878,https://en.wikipedia.org/wiki/Battle_of_Edington,BATTLE OF EDINGTON,2.3em,Arial,TRUE,WHITE,RED,30,0,10,0,40%,10%,61,0.80,-33,2,20,
1,14,1077,1,25,1077,https://en.wikipedia.org/wiki/Road_to_Canossa,ROAD TO CANOSSA,2.3em,Arial,TRUE,YELLOW,BLACK,30,0,10,0,40%,15%,20,0.80,0,1,9,
11,17,1095,11,27,1095,https://en.wikipedia.org/wiki/Council_of_Clermont,COUNCIL OF CLERMONT,2.3em,Arial,TRUE,white,RED,30,0,10,0,40%,11%,20,0.80,0,1,9,
4,1,1096,10,31,1096,https://en.wikipedia.org/wiki/People%27s_Crusade,PEOPLE'S CRUSADE,2.3em,Arial,TRUE,white,RED,30,0,10,0,40%,17%,20,0.80,0,"2,7,13,18,23,29,34",9,
10,20,1097,10,30,1097,https://en.wikipedia.org/wiki/Siege_of_Antioch,SIEGE OF ANTIOCH BEGINS,2.3em,Arial,TRUE,white,RED,30,0,10,0,40%,5%,20,0.80,0,2,9,
6,19,1098,6,28,1098,https://en.wikipedia.org/wiki/Siege_of_Antioch,SIEGE OF ANTIOCH ENDS,2.3em,Arial,TRUE,white,RED,30,0,10,0,40%,9%,20,0.80,0,1,9,
6,7,1099,7,15,1099,https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(1099),SIEGE OF JERUSALEM,2.1em,Arial,TRUE,WHITE,RED,30,0,10,0,40%,17%,20,0.70,20,"2,6",21,
9,20,1187,10,2,1187,https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(1187),SALADIN TAKES JERUSALEM,2.1em,Arial,TRUE,WHITE,BROWN,30,0,10,0,40%,8%,20,0.70,20,1,21,
7,3,1187,7,4,1187,https://en.wikipedia.org/wiki/Battle_of_Hattin,HATTIN,2.1em,Arial,TRUE,WHITE,BROWN,30,0,10,0,40%,8%,20,0.70,20,1,21,
8,28,1189,9,9,1189,https://en.wikipedia.org/wiki/Siege_of_Acre_(1189%E2%80%931191),SIEGE OF ACRE BEGINS,2.1em,Arial,TRUE,WHITE,RED,30,0,10,0,40%,17%,20,0.70,20,3,21,
5,11,1189,5,20,1189,https://en.wikipedia.org/wiki/Third_Crusade,THIRD CRUSADE BEGINS,2.1em,Arial,TRUE,WHITE,BROWN,30,0,10,0,40%,8%,20,0.70,20,2,21,
7,7,1191,7,12,1191,https://en.wikipedia.org/wiki/Siege_of_Acre_(1189%E2%80%931191),SIEGE OF ACRE ENDS,2.1em,Arial,TRUE,WHITE,RED,30,0,10,0,40%,12%,20,0.70,20,1,21,
